id,name,description,category
1,Avatar,Avatar is a 2009 American epic science fiction film.,Sci-Fi
2,Avengers: Infinity War,Avengers: Infinity War is a 2018 American superhero film based on the Marvel Comics,Sci-Fi
3,Holidate,Holidate is a 2020 American romantic comedy holiday film.,Romcom
4,Extraction,Extraction is a 2020 American action-thriller film starring Chris Hemsworth,Action
5,John Wick,John Wick is a 2014 American neo-noir action-thriller film.,Action
